	IMR90_iCherry	IMR90_iCherry	IMR90_iCherry	IMR90_iRAS	IMR90_iRAS	IMR90_iRAS
7892645	1.92311	1.99893	1.87842	2.27236	2.24009	1.7638
7892646	1.86977	2.01803	1.93472	1.71797	2.01971	1.81964
7892647	2.25403	2.18749	2.96869	2.30716	2.26362	2.32995
7892648	7.04285	7.51479	6.99682	7.12694	7.50125	6.73493
7892649	3.58563	2.73098	3.28367	2.56951	3.16709	3.02771
7892650	10.3049	10.4169	10.4627	10.2287	9.98958	10.2522
7892651	2.1571	2.05484	2.23146	2.11953	2.66115	2.46302
7892652	8.50232	8.76928	8.64899	8.88101	8.86776	8.82453
7892653	2.13716	1.98788	2.12541	2.06474	2.17928	2.2485
7892654	7.17615	6.84901	7.33777	7.40882	7.12659	7.11279
7892655	2.53475	2.70845	2.45006	2.0209	2.20437	2.27119
7892656	2.17068	1.94334	2.513	2.75244	2.58018	2.24472
7892657	3.02244	2.78131	1.98703	2.08973	2.27439	2.14311
7892658	2.57016	2.42501	2.33209	2.15065	2.11656	2.06306
7892659	2.41081	2.23742	2.23795	2.17148	2.38109	2.04688
7892660	2.01706	1.87829	1.70268	1.93282	2.15698	1.88157
7892661	6.9306	7.37455	6.95546	7.81146	8.21087	7.9042
7892662	6.48891	6.44513	6.71326	5.88113	6.14181	5.93387
7892663	10.1852	10.1163	10.2547	10.2297	10.3395	10.4446
7892664	2.94785	3.08312	2.54898	2.7792	3.26862	2.25506
7892665	3.12688	3.14431	3.80547	3.2247	3.79642	3.99581
7892666	2.08429	2.51488	1.75083	2.06728	2.08055	1.99166
7892667	7.58699	7.01673	7.49372	7.46035	7.45175	7.95538
7892668	8.597	8.56547	8.77329	8.62845	8.37828	8.66293
7892669	3.90632	4.03574	3.93651	4.24072	5.01198	4.56644
7892670	5.62126	5.66835	5.63308	5.52859	6.40729	5.54132
7892671	2.42772	2.39502	2.21933	2.2133	1.97794	2.21229
7892672	2.27103	3.0389	2.10525	2.04643	2.29494	2.52537
7892673	3.41061	2.70141	3.41311	3.13784	3.12885	3.31531
7892674	4.93643	5.20406	5.17058	5.74614	5.8544	6.08066
7892675	3.0785	2.78602	2.22964	1.98616	3.33088	2.20758
7892676	2.2413	1.8491	2.14327	2.00182	2.06438	2.29426
7892677	7.84198	7.97958	8.08174	8.02787	7.98672	7.76691
7892678	4.7261	4.83223	4.75798	4.458	3.85959	5.29357
7892679	5.29322	5.43696	5.60266	5.19687	5.26083	5.46759
7892680	7.52005	7.69149	7.7805	7.56994	7.62191	7.9888
7892681	4.66841	4.61013	5.38593	4.68966	4.56486	4.48182
7892682	2.53011	2.0469	2.40746	1.99109	1.87264	2.14409
7892683	2.43889	2.34837	2.20063	2.04018	2.04323	2.09045
7892684	9.21602	9.23248	9.06059	8.62539	9.0604	8.92968
7892685	2.69603	2.8756	2.80868	2.45974	2.32094	2.72838
7892686	5.13307	5.01743	5.36694	5.28358	5.59313	4.75321
7892687	2.64966	2.36103	2.25618	2.56479	3.2492	3.2305
7892688	7.36072	7.77852	7.58356	8.35787	7.69797	7.94576
7892689	2.61077	2.48734	3.02464	2.89211	2.98514	2.52863
7892690	2.49588	2.50838	2.66473	2.34179	2.70254	2.37002
7892691	2.44185	2.8854	2.13417	1.82085	2.20234	2.2583
7892692	3.75198	3.85483	3.88363	3.9898	3.61225	3.71755
7892693	6.22887	5.30721	6.7514	5.80998	5.85038	5.15209
7892694	5.39538	5.42843	5.48899	5.57659	4.99661	4.95853
7892695	2.02088	2.1102	2.12765	2.11457	2.20717	1.73728
7892696	3.67395	3.44479	3.38787	3.41969	3.46634	2.91967
7892697	4.52061	4.18959	4.61656	4.59585	4.24879	4.30554
7892698	1.93047	1.86634	1.80347	1.77505	1.92649	1.80359
7892699	3.32902	3.78803	3.40598	4.23944	3.12712	4.04666
7892700	2.44351	2.58495	2.923	2.44334	2.8855	2.20276
7892701	9.88097	10.1089	9.88381	9.80608	9.87686	9.92017
7892702	2.48753	3.10072	2.74697	3.07348	3.11339	2.40615
7892703	5.65859	5.26687	5.5107	5.02432	5.47182	5.57274
7892704	11.0481	11.0654	11.0947	11.115	11.028	11.137
7892705	3.19937	3.03385	3.39457	3.3002	3.10071	3.39188
7892706	3.41932	3.47321	3.2268	3.28101	3.20176	3.78565
7892707	5.60777	5.39546	4.28899	5.34909	5.89084	4.9159
7892708	2.46536	2.73902	2.61826	2.69318	3.17167	2.99459
7892709	1.97552	2.1819	1.78511	1.92022	1.95896	1.77839
7892710	2.27981	2.20686	2.53825	2.37159	2.06407	2.26897
7892711	2.59298	3.63873	2.35214	3.05896	2.61072	2.244
7892712	5.87415	5.54988	6.05818	5.62523	5.74334	6.00998
7892713	7.28238	7.19284	6.6804	7.12612	7.16648	7.12956
7892714	2.34041	2.45536	1.99206	2.25709	2.26039	2.23554
7892715	2.08762	2.10448	1.99462	2.10676	1.97544	2.16735
7892716	2.75809	3.40404	3.24711	3.5348	3.57049	3.21769
7892717	2.57771	2.45718	2.76829	2.83729	2.84158	2.61155
7892718	1.94306	2.56115	2.15755	2.1208	2.25401	2.37149
7892719	6.74446	6.57359	6.57143	6.97452	6.67179	6.21517
7892720	7.0592	7.19797	6.83798	6.60197	6.79309	5.50968
7892721	7.2711	7.23724	7.3945	6.9923	7.22998	6.80575
7892722	1.77278	1.78665	1.92361	2.15388	1.97159	2.20555
7892723	1.94272	2.15487	2.36521	2.15742	2.40955	2.13404
7892724	2.45684	2.50368	2.27835	2.51915	2.26656	2.83482
7892725	2.21724	2.41653	2.03333	1.804	2.34812	2.14119
7892726	2.43066	2.98492	2.35678	2.74707	2.62631	2.78409
7892727	2.70664	2.21956	2.59892	2.1897	2.44792	2.43512
7892728	3.14109	3.30886	3.63645	3.57608	4.40123	3.1056
7892729	2.52001	1.83647	2.18945	2.08164	2.81167	2.1384
7892730	2.3402	2.07742	2.15872	2.15951	2.26746	2.19649
7892731	3.80119	3.44532	2.90168	3.5004	2.92828	3.89648
7892732	1.63259	2.26277	3.90216	3.16353	3.29677	3.82369
7892733	1.91089	2.02973	2.05832	2.23556	2.13785	2.10536
7892734	3.66062	2.90682	2.98341	2.91887	3.45667	3.18564
7892735	1.94179	1.95882	2.00422	2.20546	2.43886	1.82114
7892736	2.76966	3.7092	2.87557	2.82267	2.56518	2.72102
7892737	2.06173	2.86032	1.94937	2.03647	1.80311	2.01048
7892738	3.77753	3.21006	3.29727	4.17631	4.1858	4.12508
7892739	2.56121	2.0386	2.51437	2.75634	2.7143	2.46165
7892740	2.25861	2.61244	2.79372	1.77552	1.83471	2.1924
7892741	3.80848	4.01976	3.63812	3.45737	3.87078	4.0636
7892742	6.15923	7.13469	6.50574	6.70782	6.81833	6.54031
7892743	2.42303	2.45967	2.3281	2.26877	2.51463	2.6148
7892744	3.60381	3.9077	3.22707	2.70522	2.28312	3.91388
7892745	6.03652	6.0419	5.85717	5.59364	6.05657	5.49591
7892746	2.67534	2.05429	2.11959	1.92839	2.40642	2.24805
7892747	4.364	4.65636	4.02122	5.24164	4.84317	4.67985
7892748	7.58008	7.6587	7.80324	7.60558	7.66168	7.6027
7892749	3.00176	2.58987	2.54896	2.91032	2.63415	2.58193
7892750	3.23222	2.55058	2.36185	2.37014	2.6112	2.84575
7892751	6.13488	5.7382	6.31249	5.8533	6.22687	6.16267
7892752	1.81923	1.82847	1.93826	1.74068	1.81455	1.78734
7892753	10.4712	10.4526	10.4266	10.3327	10.3857	10.2673
7892754	2.68679	2.24099	2.38758	2.26628	2.42328	2.21615
7892755	1.892	2.1357	1.88792	2.34495	2.16791	2.19098
7892756	1.95851	1.93525	1.88526	1.85459	1.99179	1.86844
7892757	5.13519	4.86783	4.97734	4.75985	5.81196	5.35372
7892758	2.78938	3.36077	3.22954	3.59211	3.26182	3.01316
7892759	2.97994	2.79542	2.13078	2.32955	2.48333	2.54818
7892760	2.22318	2.28001	2.59849	2.51096	2.24968	2.19927
7892761	4.67734	5.18804	5.15668	5.06067	5.15672	4.53292
7892762	10.6238	10.5419	10.5815	10.4538	10.4239	10.2493
7892763	4.60748	5.08225	4.21303	4.70218	4.53348	4.40408
7892764	8.25628	8.27962	8.31646	7.86982	7.75577	7.97216
7892765	7.85275	7.484	7.88064	7.49917	7.95982	7.64136
7892766	9.20632	9.34324	9.31398	9.2239	9.07241	9.09415
7892767	2.21468	2.20087	1.99677	2.12472	2.55945	2.1551
7892768	2.67348	2.27364	2.25023	1.69552	2.12515	1.82443
7892769	2.13464	2.12309	2.03073	1.93275	1.99011	2.06137
7892770	8.98562	8.81313	9.10399	9.04314	8.99257	8.80044
7892771	6.14268	6.33851	6.44559	5.97197	6.3261	6.40689
7892772	2.07947	1.84311	2.11931	2.14483	2.31723	2.20563
7892773	4.36213	4.76258	4.26933	4.26977	4.61981	4.39826
7892774	2.54496	2.79615	2.60383	2.53629	2.40248	2.37736
7892775	2.736	3.0144	2.87151	2.83784	2.5817	2.4984
7892776	9.33504	9.60837	9.26926	9.0327	8.9931	8.68494
7892777	2.84358	2.50669	2.86582	2.93252	2.73537	2.83551
